bundle_id,bundle_name,price_usd,dice,city_funds,sticker_pack_common,sticker_pack_rare,sticker_pack_epic,bonus_notes,availability
1,Starter Roll,1.99,120,0,1,0,0,first session,ftue
2,Quick Boost,4.99,350,15000,1,0,0,,always
3,Builder Kit,9.99,600,60000,0,1,0,,always
4,City Sprint,19.99,1200,150000,0,1,0,limited,post_city_complete
5,Neon Vault,29.99,2000,250000,0,2,0,,always
6,Skyline Pack,49.99,3500,450000,0,2,1,,always
7,Mega Roll,99.99,8000,900000,0,3,2,limited,weekly
8,Sticker Hunter,14.99,300,20000,0,2,1,album progress,always
9,Comeback Deal,6.99,500,50000,1,0,0,after_shutdown,triggered
10,Event Pass,9.99,300,0,0,2,0,premium track,event
