bundle_id,bundle_name,price_usd,dice,city_funds,sticker_pack_common,sticker_pack_rare,sticker_pack_epic,dice_equiv_formula,dice_per_usd_formula,target_min,target_max,notes
1,Starter Roll,1.99,120,0,1,0,0,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,ftue anchor
2,Quick Boost,4.99,350,15000,1,0,0,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,core tier
3,Builder Kit,9.99,600,60000,0,1,0,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,mid tier
4,City Sprint,19.99,1200,150000,0,1,0,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,post city complete
5,Neon Vault,29.99,2000,250000,0,2,0,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,core tier
6,Skyline Pack,49.99,3500,450000,0,2,1,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,high tier
7,Mega Roll,99.99,8000,900000,0,3,2,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,weekly whale
8,Sticker Hunter,14.99,300,20000,0,2,1,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,collector
9,Comeback Deal,6.99,500,50000,1,0,0,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,triggered
10,Event Pass,9.99,300,0,0,2,0,=dice+(city_funds/assumptions!funds_per_die)+(sticker_pack_common*assumptions!common_pack_dice_equiv)+(sticker_pack_rare*assumptions!rare_pack_dice_equiv)+(sticker_pack_epic*assumptions!epic_pack_dice_equiv),=dice_equiv/price_usd,=assumptions!target_value_per_usd_min,=assumptions!target_value_per_usd_max,events
